category,term,definition,context
経営戦略・事業運営,中期経営計画（中計）,3〜5年の経営方針・数値目標をまとめた計画,「中計の達成率が…」「次の中計では…」のように、経営の方向性を議論する場面で頻出
経営戦略・事業運営,M&A,企業の合併・買収,「M&Aで成長を加速」「M&A後のPMIが課題」のように、成長戦略の文脈で使う
経営戦略・事業運営,PMI,M&A後の統合プロセス,「M&A成立後に「PMIをどう進めるか」が焦点になる。文化・システム・人事の統合」
経営戦略・事業運営,DD（デューデリジェンス）,M&Aや投資前の詳細調査,「DDの結果、リスクが見つかった」のように、投資判断の前段階で使う
経営戦略・事業運営,事業ポートフォリオ,会社が持つ複数事業の組み合わせ,「ポートフォリオの見直し」＝不採算事業の撤退や成長事業への集中投資を検討するとき
経営戦略・事業運営,選択と集中,事業領域を絞り、経営資源を重点配分する戦略,「選択と集中で利益率を改善」のように、事業再編の方針として使う
経営戦略・事業運営,シナジー,複数の事業・会社の組み合わせで生まれる相乗効果,「M&Aのシナジーは○億円を見込む」のように、統合の効果を数値化する文脈
経営戦略・事業運営,バリューチェーン,原材料から顧客への価値提供までの一連の活動,「バリューチェーンのどこで差別化するか」と、競争優位の源泉を議論するとき
経営戦略・事業運営,コアコンピタンス,他社に真似できない自社固有の強み,「うちのコアコンピタンスは何か」と、事業の根幹を見直す議論で使う
経営戦略・事業運営,SWOT分析,強み・弱み・機会・脅威の4象限で状況を整理するフレームワーク,戦略立案の初期段階で「まずSWOTで整理しよう」と使われる
経営戦略・事業運営,3C分析,市場(Customer)・競合(Competitor)・自社(Company)の3視点で分析,「3Cで見たときに、うちの強みは…」のように状況整理に使う
経営戦略・事業運営,ブルーオーシャン,競合がいない未開拓市場,「ブルーオーシャンを狙う」＝競争を避け、新しい市場を創造する戦略の文脈
経営戦略・事業運営,アライアンス,企業間の戦略的提携,「○○社とアライアンスを組む」＝資本関係なしの協業・提携を指す
経営戦略・事業運営,ピボット,事業の方向転換,スタートアップ文脈から広まり、「既存事業をピボットする」のように使われる
経営戦略・事業運営,参入障壁,新規参入を困難にする要因,「参入障壁が高い／低い」と、市場の競争環境を評価するとき
経営戦略・事業運営,BCP,事業継続計画。災害・危機時の対応計画,「BCPは整備されているか」と、リスク管理の文脈で使う
経営戦略・事業運営,パーパス,企業の存在意義,「パーパス経営」として、利益だけでなく社会的存在意義を重視する経営方針
経営戦略・事業運営,ステークホルダー,利害関係者（株主・顧客・従業員・取引先・地域社会等）,「ステークホルダーへの説明責任」のように、影響を受ける関係者全体を指す
会計・財務,損益計算書,ある期間に「いくら売って、いくら使って、いくら残ったか」を示す表,「PLを見ると営業利益が前年比で落ちている」のように、会社の稼ぎの状況を議論するときに出る
会計・財務,貸借対照表,ある時点で「何を持っていて（資産）、いくら借りていて（負債）、自分の取り分はいくらか（純資産）」を示す表,「BSが重い」＝資産が多すぎて効率が悪い。M&Aや資金調達の話で必ず出る
会計・財務,キャッシュフロー計算書,実際にお金がいくら入って、いくら出たかを示す表。PLは「計算上の利益」、CFは「実際のお金の動き」,「黒字倒産」の話で出る。利益が出ていてもお金が回らなければ潰れる
会計・財務,売上総利益,売上から原価を引いた利益,「粗利率が低い」＝安売りしている or 原価が高い
会計・財務,営業利益,粗利から販管費を引いた利益。本業で稼いだ利益,「営業利益率10%を目指す」のように目標設定に使われる
会計・財務,経常利益,営業利益に金融収支を加減した利益,日本の経営者が「けいつね」と略す。銀行との関係や借入金利の影響を含む実力利益
会計・財務,純利益,すべての収益・費用・税金を差し引いた最終的な利益,「ボトムライン」とも呼ばれる。株主への配当原資
会計・財務,減価償却,高額な設備投資を、使う年数に分けて少しずつ費用にする会計処理,投資判断やキャッシュフローの話で頻出。「減価償却でPLへの影響は分散される」
会計・財務,のれん,M&Aで買った金額と相手企業の純資産との差額,「のれんの減損リスク」＝買収先が期待ほど稼げず巨額損失を出す可能性
会計・財務,運転資本,事業を回すために日常的に必要な資金（売掛金＋在庫−買掛金）,「運転資本が増えている」＝お金が在庫や売掛金に寝ている
会計・財務,フリーキャッシュフロー,営業で稼いだお金から設備投資を引いた「自由に使える現金」,FCFがプラス＝借金返済・配当・新規投資に回せる余力がある
会計・財務,資本コスト,資金を調達するためのコスト（借入金利＋株主の期待リターン）,「資本コストを上回るリターンを出せているか」が経営の本質的な問い
会計・財務,IFRS,世界共通の会計ルール。日本基準とは利益の計算方法が異なる,グローバル企業で「IFRS適用」の話が出る。のれん償却方法の違いが典型的な論点
会計・財務,連結決算,親会社とグループ会社を合算した決算,「単体では黒字だが連結で見ると赤字」のように全体像を把握する文脈
会計・財務,引当金,将来の支出・損失に備えてあらかじめ計上するお金,「賞与引当金」「貸倒引当金」など。決算の利益調整の話で登場
会計・財務,エクイティ / デット,エクイティ＝株式による調達、デット＝借入による調達,「エクイティだと経営権が希薄化」「デットだと返済義務」。資金調達方針の議論
会計・財務,バリュエーション,企業の価値をいくらと評価するか,M&Aや資金調達で「バリュエーションが高い/低い」。PERやEV/EBITDAで算定
経営指標・KPI,ROE,株主が出したお金に対して、どれだけ利益を生んだかの割合,「ROE 8%以上」が目安（伊藤レポート）。東証の資本効率改革で最重要指標に
経営指標・KPI,ROA,全資産を使って、どれだけ利益を生んだかの割合,「資産を効率的に使えているか」。BS が重い企業の課題議論で使う
経営指標・KPI,EBITDA,利息・税金・減価償却費を引く前の利益。「本業の稼ぐ力」,企業間比較やM&Aの企業価値算定で「EBITDAの何倍」と使われる
経営指標・KPI,営業利益率,売上に対する営業利益の割合,「営業利益率10%」のように目標設定。業界平均との比較で収益力を測る
経営指標・KPI,ROI,投資に対するリターンの割合,「この投資のROIは?」は経営者が最も頻繁に聞く質問の一つ
経営指標・KPI,KPI,目標達成の進捗を測る具体的な数値指標,「KPIが未達」。KGI（最終目標）を達成するための中間指標
経営指標・KPI,KGI,最終的に達成したいゴールを示す数値指標,「KGIは売上100億、KPIは新規顧客数と客単価」のようにセットで使う
経営指標・KPI,PER,株価が1株当たり利益の何倍か,「PER 20倍」＝利益20年分の価格。株価の割高/割安の議論で使う
経営指標・KPI,PBR,株価が1株当たり純資産の何倍か,「PBR 1倍割れ」＝解散した方が得と市場が評価。2023年の東証要請以降の最大関心事
経営指標・KPI,ROIC,事業に投じた資本に対する利益の割合,「ROIC経営」として注目。事業部門ごとの比較で資本配分を判断
経営指標・KPI,WACC,借入と株式の調達コストの加重平均。最低限超えるべきリターン基準,「WACCを上回るROICか」が資本効率の本質的な問い
経営指標・KPI,MRR / ARR,サブスク型ビジネスの毎月/毎年繰り返し入る収益,SaaS企業の成長性指標。「ARR 10億突破」のようにマイルストーンとして使う
経営指標・KPI,チャーンレート,一定期間に解約・離脱した顧客の割合,月次チャーン1%でも年間約11%離脱。サブスク経営者が神経を尖らせる数字
経営指標・KPI,NRR,既存顧客からの売上が前年比でどれだけ維持・拡大されたか,「NRR 120%」＝既存顧客だけで20%成長。投資家が重視
経営指標・KPI,損益分岐点,売上と費用が同じになる点,「最低いくら売れば赤字にならないか」。新規事業やコスト改革の議論で使う
経営指標・KPI,EV,時価総額＋有利子負債−現預金。会社をまるごと買う値段,M&Aで「EV/EBITDA 8倍」のように企業価値を評価
マーケティング指標,LTV,1人の顧客が取引期間全体で生み出す累計利益,「LTVがCACの3倍以上」が健全なビジネスの目安
マーケティング指標,CAC,新規顧客を1人獲得するのにかかった費用,「CACが上がっている」＝顧客獲得が難しくなっている。LTVとセットで使う
マーケティング指標,CPA,1件の成果を獲得するのにかかった広告費,「CPA 5
マーケティング指標,ROAS,広告費1円あたり何円の売上が出たか,「ROAS 500%」＝広告費の5倍の売上。デジタルマーケの成果報告で必ず出る
マーケティング指標,CVR,訪問者のうち購入・申込した割合,「CVRが2%→3%に改善」。Web施策の効果測定で使う
マーケティング指標,ファネル,「認知→興味→検討→購入」と段階的に絞り込まれる過程,「ファネルのどこで離脱が多いか」。課題特定の議論で使う
マーケティング指標,リード,興味を持っている見込み顧客,BtoBで「リード獲得が月100件」。MQL（マーケ認定）/ SQL（営業認定）と段階分けも
マーケティング指標,ユニットエコノミクス,顧客1人あたりの経済性（LTV÷CAC）,「ユニットエコノミクスが成立」＝獲得コスト以上の利益を回収できている
マーケティング指標,NPS,「人に薦めるか」で測る顧客推奨度,「NPS 40以上は優良」。顧客ロイヤルティを1つの数字で測る
マーケティング指標,CRM,顧客との関係を管理する仕組み・ツール,「CRMを導入して顧客データを一元管理」。営業DXの基盤
マーケティング指標,ABM,特定企業に絞って個別アプローチするBtoBマーケ手法,「ABMで大手10社に集中アプローチ」
マーケティング指標,パイプライン,商談の進捗段階ごとに案件を管理する仕組み,「パイプラインに3億円ある」＝進行中商談の合計。売上予測の根拠
マーケティング指標,オーガニック,広告費をかけずに自然に獲得した流入,「オーガニック流入を増やしたい」＝広告依存からの脱却
マーケティング指標,エンゲージメント（顧客）,SNSでの「いいね」「シェア」等の能動的反応度,「エンゲージメント率が高い」＝ブランド力・コンテンツの質を測る指標
マーケティング指標,ペルソナ,典型的な顧客像を具体的な人物として描いたもの,マーケ戦略やプロダクト設計の出発点として使われる
マーケティング指標,インプレッション,広告・コンテンツが画面に表示された回数,認知拡大のKPI。クリックや購入の前段階の指標
人事・組織,エンゲージメント（従業員）,従業員の会社・仕事への愛着・主体的な関わり,「エンゲージメントスコアが下がっている」と従業員満足度の文脈で使う
人事・組織,人的資本経営,人材を「コスト」ではなく「投資すべき資本」として捉える経営,2023年から有価証券報告書での開示義務化。IR・統合報告書で頻出
人事・組織,ジョブ型雇用,職務を明確に定義し、その職務に対して人を配置する雇用形態,「メンバーシップ型からジョブ型へ」と人事制度改革の文脈
人事・組織,OKR,目標と主要成果指標を設定する目標管理手法,「OKRを導入して組織の目標を揃える」。Google発で広まった
人事・組織,MBO,上司と部下で目標を合意し達成度を評価する制度,日本企業で広く使われている評価制度。「MBOの評価面談」
人事・組織,タレントマネジメント,人材の採用・育成・配置・評価を一体的に管理する仕組み,人材戦略の文脈。「タレントマネジメントシステムを導入」
人事・組織,サクセッションプラン,経営幹部の後継者育成計画,「社長のサクセッションプランは」とトップ人事の文脈で
人事・組織,心理的安全性,チーム内で意見やミスを恐れずに発言できる状態,組織風土改善の文脈。「心理的安全性が低い組織は…」
人事・組織,1on1,上司と部下の定期的な1対1面談,マネジメント手法として定着。「1on1を週次でやっている」
人事・組織,リスキリング,新しいスキルを身につけ直すこと。特にデジタルスキル,「DXに向けたリスキリング」と人材育成・配置転換の文脈
人事・組織,D&I（DEI）,多様性の受容と活用,「D&Iを推進する」と経営方針・採用方針の文脈
人事・組織,ウェルビーイング,従業員の身体的・精神的・社会的な健康と幸福,「ウェルビーイング経営」として健康経営の発展形
人事・組織,CHRO,最高人事責任者,「CHROを設置して人事戦略を強化」
人事・組織,HRBP,事業部門に寄り添い経営課題を人事面から解決する役割,「HRBPモデルを導入する」と人事機能の高度化の文脈
人事・組織,リテンション,優秀な人材の引き留め・定着,「リテンション施策」＝離職防止の取り組み
法務・ガバナンス,コンプライアンス,法令遵守。広義には社会規範・倫理の遵守も含む,「コンプライアンス違反」「コンプラ研修」とリスク管理の基本として頻出
法務・ガバナンス,ガバナンス,企業統治。経営の監視・統制の仕組み,「ガバナンスを強化する」＝経営の透明性・健全性を高める文脈
法務・ガバナンス,内部統制,業務の適正を確保するための組織的な仕組み,J-SOXや監査対応の文脈。「内部統制を整備する」
法務・ガバナンス,J-SOX,日本版SOX法（内部統制報告制度）,上場企業の監査・報告義務の文脈。「J-SOX対応」
法務・ガバナンス,コーポレートガバナンス・コード,上場企業の企業統治の指針（東証策定）,株主・投資家対応の文脈。「ガバナンスコードに準拠しているか」
法務・ガバナンス,社外取締役,社外から招聘された取締役,「社外取締役の比率を上げる」とガバナンス強化の文脈
法務・ガバナンス,NDA,秘密保持契約,商談・提携の初期段階で「NDAを結んでから」
法務・ガバナンス,SLA,サービス品質保証契約,「SLAで稼働率99.9%を保証」とITサービス契約の文脈
法務・ガバナンス,IP（知財）,知的財産。特許・商標・著作権等,「IP戦略」「IPポートフォリオ」と技術系企業の経営戦略で
法務・ガバナンス,レピュテーションリスク,企業の評判が毀損されるリスク,SNS時代の危機管理の文脈
法務・ガバナンス,個人情報保護法,個人データの取り扱いを規制する法律,「個情法への対応」とデータビジネス・DXの文脈で必ず出る
法務・ガバナンス,善管注意義務,取締役が善良な管理者として注意を払う義務,取締役の責任の文脈。「善管注意義務違反で訴えられる」
法務・ガバナンス,利益相反,一方の利益が他方の不利益になる関係,取引・人事の公正性の文脈。「利益相反がないか確認」
IT・DX,DX,デジタル技術でビジネスモデルや業務を根本から変えること,「うちもDXを進めないと」が定番。中計にほぼ必ず登場
IT・DX,AI / 生成AI,人間の知的作業をコンピュータで再現する技術。生成AIはChatGPTのように新しく作り出すAI,2023年以降「生成AIの活用」が経営アジェンダの最上位に
IT・DX,SaaS,月額/年額で利用するクラウドソフトウェア,「SaaSに移行する」と従来のシステム導入との対比で語られる
IT・DX,クラウド,自社でサーバーを持たず、インターネット経由でIT資源を使うこと,「オンプレからクラウドへ」。コスト削減・セキュリティの文脈
IT・DX,オンプレミス,自社建物内にサーバーを置く従来型方式。クラウドの対義語,「まだオンプレで動いている」と移行判断の文脈で
IT・DX,PoC,本格導入前の小規模検証,「まずPoCをやってみよう」。「PoC止まり」が課題としても語られる
IT・DX,API,ソフトウェア同士をつなぐ窓口,「API連携で業務を自動化」とシステム統合の文脈
IT・DX,アジャイル,小さく作って→試して→直すを繰り返す進め方,従来の「ウォーターフォール」との対比で使われる
IT・DX,RPA,定型作業をソフトウェアのロボットに代行させること,「RPAで月○時間の工数削減」。DXの入口として導入しやすい
IT・DX,RAG,生成AIに自社資料を参照させて精度を上げる技術,「社内ナレッジをRAGで検索」と生成AI企業導入の具体策
IT・DX,ローコード / ノーコード,プログラミングほぼ不要でアプリを作れるツール,「現場がノーコードで業務アプリを作る」と内製化の文脈
IT・DX,データドリブン,勘ではなくデータに基づいて意思決定すること,「データドリブン経営を実現」。DXの目的として語られる
IT・DX,サブスクリプション,定額課金で継続利用するビジネスモデル,「サブスク型に転換する」と収益モデル変革の文脈
IT・DX,UI / UX,UIは画面デザイン、UXはサービス全体の利用体験,「UXを改善して顧客満足度を上げる」
IT・DX,サイバーセキュリティ,サイバー攻撃から企業を守ること,「サイバーセキュリティは経営課題」。取締役会の議題にも
IT・DX,ゼロトラスト,すべてのアクセスを検証するセキュリティの考え方,リモートワーク普及以降「ゼロトラストに移行」
IT・DX,DX人材,DXを推進できるスキル・マインドを持った人材,「DX人材が足りない」が経営課題として頻出
ESG・サステナビリティ,ESG,環境・社会・ガバナンスの3観点で企業を評価する枠組み,「ESG投資」「ESGスコア」と投資家・IR対応の文脈
ESG・サステナビリティ,SDGs,国連が定めた2030年までの17の持続可能な開発目標,「SDGsへの貢献」とCSR・IR・採用ブランディングの文脈
ESG・サステナビリティ,サステナビリティ,環境・社会・経済のバランスを保ちながら持続的に成長すること,「サステナビリティ経営」「サステナビリティレポート」が頻出
ESG・サステナビリティ,カーボンニュートラル,CO2排出量と吸収量を差し引きゼロにすること,「2050年カーボンニュートラル宣言」。製造業・エネルギー企業で特に重要
ESG・サステナビリティ,Scope 1/2/3,温室効果ガス排出量の分類（自社直接/電力間接/サプライチェーン全体）,「Scope3まで含めた排出量把握」。取引先にも波及する
ESG・サステナビリティ,マテリアリティ,自社にとって特に重要なESG課題の特定,統合報告書で「当社のマテリアリティ」として開示するのが定番
ESG・サステナビリティ,TCFD,気候変動の財務リスク・機会を開示する国際枠組み,「TCFDに基づく情報開示」が上場企業で拡大
ESG・サステナビリティ,GX,脱炭素社会への移行を成長機会と捉える変革。日本政府推進,DXと並ぶ変革テーマとして中計に登場
ESG・サステナビリティ,統合報告書,財務情報と非財務情報を統合した年次レポート,投資家向けの主要コミュニケーションツール
経営キーワード,VUCA,変動性・不確実性・複雑性・曖昧性が高い時代環境,「VUCAの時代だからこそ」が枕詞的に使われる。変革の必要性を訴える場面
経営キーワード,イノベーション,新しい価値を生み出すこと。技術だけでなく仕組みの刷新も含む,「オープンイノベーション」（社外連携での価値創造）もセットで頻出
経営キーワード,ディスラプション,既存の業界・ビジネスモデルを根底から覆す破壊的変化,「ディスラプターに市場を奪われる」と危機感の表明で使う
経営キーワード,アジリティ,変化に素早く対応できる組織の機敏さ,「組織のアジリティを高める」。「アジャイル」（開発手法）とは異なり組織能力を指す
経営キーワード,レジリエンス,困難や危機から回復する力、しなやかな強さ,コロナ以降急増。「サプライチェーンのレジリエンス」と危機対応の文脈
経営キーワード,エコシステム,複数の企業・組織が連携して価値を生む仕組み,「ビジネスエコシステムを構築する」とパートナー共創の文脈
