category,term,definition,context
Section1,respect,"…を尊敬する、…を尊重する","We should respect the views of every team member."
Section1,will,"①意志 ②遺言","Her strong will helped her overcome many obstacles."
Section1,individual,"名: 個人 形: 個人の、個々の","Each individual has a unique set of talents and skills."
Section1,individuality,"個性、独自性","Schools should encourage individuality rather than conformity."
Section1,Take it easy,"気楽にいく、落ち着く","Take it easy and don't worry about the small things."
Section1,assure,"…に保証する、安心させる","I can assure you that the project will be finished on time."
Section1,assurance,"確約、保証","She gave him an assurance that his job was safe."
Section1,turn out (to be),"（最終的に）…という結果になる","The weather turned out to be much better than expected."
Section1,turn out,"（人々が）集まる、来場する","A large crowd turned out for the charity concert."
Section1,let go of,"…を手放す、…を捨てる","You need to let go of your fear and try something new."
Section1,negative,"①否定的な、消極的な ②陰性の","A negative mindset can prevent you from reaching your full potential."
Section1,outlook,"①見方、態度 ②見通し","Having a hopeful outlook can make difficult times easier to bear."
Section1,maintain,"①…を維持する ②…を主張する","It is important to maintain a healthy balance between work and rest."
Section1,maintenance,"維持、保全、整備","Regular maintenance keeps the equipment running smoothly."
Section1,positive,"①積極的な、前向きな ②確信のある","A positive attitude can improve both your health and your relationships."
Section1,attitude,"（…に対する）態度","Your attitude toward learning determines how fast you improve."
Section1,fair,"①公正な ②かなりの ③晴れの","The manager made a fair decision that satisfied both parties."
Section1,regardless of,"…にかかわらず","Everyone deserves equal treatment regardless of their background."
Section1,national,"国の、国民の","The national holiday celebrates the founding of the country."
Section1,nation,"国、国家","The entire nation celebrated the victory of the soccer team."
Section1,nationality,"国籍","People of every nationality are welcome at the international festival."
Section1,origin,"①起源 ②出身","The origin of the custom dates back to the eighteenth century."
Section1,original,"①元の、最初の ②独創的な","The original plan was changed after the budget was reduced."
Section1,originate,"始まる、起源がある","The tradition originated in a small village in southern France."
Section1,gender,"性別","The company promotes equality regardless of gender."
Section1,creed,"信条、信仰","People of every creed gathered together for the peace rally."
Section1,equality,"平等","The movement fought for equality in education and employment."
Section1,equal,"形: 等しい、平等な 動: …に等しい","All citizens should have equal access to public services."
Section1,guarantee,"動: …を保証する 名: 保証","Hard work does not always guarantee success but it helps."
Section1,constitution,"①憲法 ②構成、体質","The constitution protects the basic rights of all citizens."
Section1,constitutional,"憲法の、立憲的な","Freedom of expression is a constitutional right in many countries."
Section1,lean,"①やせた ②寄りかかる","The lean runner finished the marathon in under three hours."
Section1,pillar,"柱、支柱","Education is a pillar of a strong and stable society."
Section1,gaze,"じっと見つめる、凝視する","She gazed at the sunset over the ocean for a long time."
Section1,statue,"像、彫像","A bronze statue of the founder stands in front of the building."
Section1,liberty,"自由","The monument was built to honor those who fought for liberty."
Section1,liberal,"①自由主義の ②寛大な","He holds liberal views on most social issues."
Section1,liberate,"…を解放する","The prisoners were liberated after the war ended."
Section1,pass by,"通り過ぎる","I pass by the park every morning on my way to work."
Section1,give off,"（におい・光・熱を）発する","The flowers in the garden give off a sweet fragrance."
Section1,subtle,"微妙な、繊細な","There is a subtle difference between the two shades of blue."
Section1,scent,"香り、におい","The scent of fresh bread filled the entire kitchen."
Section1,perfume,"香水、芳香","She wore a light perfume that smelled of lavender."
Section1,remind,"…に思い出させる","This song always reminds me of my childhood."
Section1,ex-,"前の、元の","She still keeps in touch with her ex-colleagues from the old office."
Section1,smell,"名: におい 動: においがする","The smell of coffee in the morning always wakes me up."
Section1,awful,"ひどい、恐ろしい","The food at that restaurant was absolutely awful."
Section1,taste,"名: ①味 ②趣味 動: 味がする","This soup has a rich taste thanks to the fresh vegetables."
Section1,terrific,"①素晴らしい ②ものすごい","She did a terrific job on the presentation yesterday."
Section1,soaked,"びっしょり濡れた","We got completely soaked in the sudden downpour."
Section1,soak,"…を浸す、…をびしょ濡れにする","Soak the beans in water overnight before cooking them."
Section1,sweat,"名: 汗 動: 汗をかく","He wiped the sweat from his forehead after the long run."
Section1,stand back,"後ろに下がる","Please stand back and let the paramedics through."
Section1,stink,"ひどいにおいがする","The garbage in the alley started to stink in the summer heat."
Section1,take a shower,"シャワーを浴びる","I always take a shower right after my morning jog."
Section2,be beside oneself,"我を忘れる、取り乱す","She was beside herself with joy when she heard the news."
Section2,scarcely,"ほとんど…ない","He could scarcely believe what he was seeing."
Section2,scarce,"乏しい、不足した","Clean drinking water is scarce in many parts of the world."
Section2,tell A from B,"AとBを区別する","Can you tell real silk from synthetic fabric?"
Section2,fact,"事実","The report is based on fact rather than speculation."
Section2,fiction,"①フィクション、作り話 ②小説","The boundary between fact and fiction is sometimes hard to draw."
Section2,novel,"名: 小説 形: 新奇な","She published her first novel at the age of twenty-five."
Section2,combine,"…を結合させる、組み合わせる","He managed to combine his passion for art with a business career."
Section2,combination,"組み合わせ、結合","The combination of talent and hard work led to her success."
Section2,prose,"散文","His prose style is simple yet deeply moving."
Section2,gift,"①贈り物 ②才能","She has a remarkable gift for learning new languages."
Section2,gifted,"才能のある、天賦の","The gifted young pianist won an international competition."
