category,term,definition,context
エージェントアーキテクチャ,エージェントループ（Agent Loop）,"Claudeにリクエストを送信し、stop_reasonを検査し、ツールを実行し、結果を返すサイクルを繰り返す自律的タスク実行の基本構造。",ライフサイクル全体の理解が問われる。stop_reasonに基づく制御フローが最重要。
エージェントアーキテクチャ,"stop_reason: ""tool_use""","モデルがツールの呼び出しを要求していることを示すstop_reason値。エージェントループはこの値を受け取ったら継続する。","""end_turn""との区別が問われる。ループの継続/終了判断の核心。"
エージェントアーキテクチャ,"stop_reason: ""end_turn""","モデルがタスク完了と判断し応答を終了したことを示すstop_reason値。エージェントループはこの値で終了する。","""tool_use""との対比で出題。ループの正しい終了条件。"
エージェントアーキテクチャ,ツール結果の会話履歴追加,"ツール実行結果を会話履歴に追加し、モデルが次のアクションについて新しい情報を推論に組み込めるようにする仕組み。",イテレーション間のコンテキスト維持の基本メカニズム。
エージェントアーキテクチャ,モデル駆動の意思決定,"Claudeがコンテキストに基づいて次にどのツールを呼び出すかを自律的に推論する方式。事前設定されたデシジョンツリーやツールシーケンスとは異なる。",固定パイプラインとの違いが問われる。エージェントの自律性の根幹。
エージェントアーキテクチャ,アンチパターン: 自然言語シグナルでループ終了,"自然言語シグナルを解析してループ終了を判断するアプローチ。stop_reasonによる制御フローを使うべき。",試験で「避けるべきアプローチ」として出題。
エージェントアーキテクチャ,アンチパターン: イテレーション上限を主要停止メカニズムにする,"任意のイテレーション上限を主要な停止メカニズムとして設定すること。stop_reasonに基づく終了が正しい。","安全策としての上限は可だが「主要な」停止手段にするのは不適切。"
エージェントアーキテクチャ,アンチパターン: テキスト存在を完了指標にする,"アシスタントテキストコンテンツの存在を完了の指標として確認するアプローチ。信頼性が低い。",stop_reasonによる判断が正解。テキスト有無は不確実な指標。
エージェントアーキテクチャ,ハブアンドスポークアーキテクチャ,"コーディネーターエージェントがすべてのサブエージェント間通信、エラーハンドリング、情報ルーティングを管理するアーキテクチャパターン。",マルチエージェントシステムの基本構造。コーディネーターの中心的役割が問われる。
エージェントアーキテクチャ,コーディネーターエージェント,"タスク分解、サブエージェントへの委任、結果集約を行う中央制御エージェント。クエリの複雑さに基づいてどのサブエージェントを呼び出すかを動的に選択する。",常にフルパイプラインを経由するのではなく動的選択する設計が重要。
エージェントアーキテクチャ,サブエージェントのコンテキスト独立性,"サブエージェントは独立したコンテキストで動作し、コーディネーターの会話履歴を自動的に継承しない。",最頻出概念の一つ。コンテキストは明示的に渡す必要がある。
エージェントアーキテクチャ,過度に狭いタスク分解のリスク,"コーディネーターがトピックを過度に狭く分解すると、広範なリサーチトピックの不完全なカバレッジにつながる。",サンプル問題7の正解根拠。分解の粒度が結果の網羅性に直結。
エージェントアーキテクチャ,反復的改善ループ,"コーディネーターが統合出力のギャップを評価し、ターゲットクエリでサブエージェントに再委任し、カバレッジが十分になるまで繰り返す。",一発で完了させるのではなくギャップを埋める反復プロセス。
エージェントアーキテクチャ,サブエージェント通信のルーティング原則,"すべてのサブエージェント通信をコーディネーターを通じてルーティングする。可観測性、一貫したエラーハンドリング、制御された情報フローのため。",サブエージェント間の直接通信は原則禁止。コーディネーター経由が基本。
エージェントアーキテクチャ,Taskツール,"サブエージェントをスポーンするためのメカニズム。コーディネーターのallowedToolsに""Task""を含める必要がある。",Agent SDK固有の概念。allowedToolsへの追加が必須。
エージェントアーキテクチャ,allowedTools設定,"エージェントが使用可能なツールを制限する設定。サブエージェントをスポーンするには""Task""を含める必要がある。",ツールアクセスの制御メカニズム。セキュリティとスコープの文脈で出題。
エージェントアーキテクチャ,AgentDefinition,"各サブエージェントタイプの説明、システムプロンプト、およびツール制限を含む設定オブジェクト。",サブエージェントの設計・設定の基本単位。
エージェントアーキテクチャ,明示的コンテキスト受け渡し,"先行エージェントの完全な知見をサブエージェントのプロンプトに直接含める方式。自動継承に依存しない。",サブエージェントのコンテキスト独立性と対になる概念。明示的に渡す設計が正解。
エージェントアーキテクチャ,コンテンツとメタデータの分離,"構造化データ形式でコンテンツとメタデータ（ソースURL、ドキュメント名、ページ番号）を分離して受け渡す。",帰属（attribution）の保持に不可欠。ドメイン5のソース帰属とも関連。
エージェントアーキテクチャ,並列サブエージェントスポーン,"コーディネーターの単一レスポンスで複数のTaskツール呼び出しを発行し、サブエージェントを並列にスポーンする技法。",別々のターンではなく単一レスポンスで複数呼び出す点が重要。
エージェントアーキテクチャ,目標指向コーディネータープロンプト,"ステップバイステップの手順的指示ではなく、リサーチ目標と品質基準を指定するコーディネータープロンプトの設計方針。",サブエージェントの適応性を確保するための設計原則。
エージェントアーキテクチャ,プログラム的強制 vs プロンプトベースのガイダンス,"プログラム的強制（フック、前提条件ゲート）は確定的保証を提供。プロンプトベースのガイダンスはゼロでない失敗率がある。",サンプル問題1の正解根拠。金銭的影響がある場合はプログラム的強制が必須。
エージェントアーキテクチャ,プログラム的前提条件,"前提条件ステップが完了するまでダウンストリームのツール呼び出しをブロックする仕組み。例: get_customerが検証済みIDを返すまでprocess_refundをブロック。",確定的コンプライアンスが必要な場面での必須パターン。
エージェントアーキテクチャ,構造化ハンドオフプロトコル,"人間エージェントへのエスカレーション時に、顧客ID、根本原因、返金額、推奨アクションを含む構造化サマリーをコンパイルする。",会話トランスクリプトにアクセスできない人間への引き継ぎ設計。
エージェントアーキテクチャ,マルチ懸念事項の分解と統合,"複数の懸念事項を持つ顧客リクエストを個別項目に分解し、共有コンテキストで各項目を並行調査後、統一的解決策を統合する。",複合的な顧客リクエストの処理パターン。
エージェントアーキテクチャ,PostToolUseフック,"モデルが処理する前にツール結果をインターセプトして変換するAgent SDKフック。データ正規化に使用。",Unixタイムスタンプ→ISO 8601などの変換。ツール呼び出し「後」のフック。
エージェントアーキテクチャ,ツール呼び出しインターセプションフック,"送信ツール呼び出しをインターセプトしてコンプライアンスルールを強制するフック。例: 500ドル超の返金をブロック。",ビジネスルールの確定的保証。プロンプトベースの強制より信頼性が高い。
エージェントアーキテクチャ,フック vs プロンプト指示の選択基準,"ビジネスルールが保証されたコンプライアンスを要求する場合はフックを選択。確率的で許容できる場合はプロンプト指示。",確定的保証 vs 確率的コンプライアンスの判断が出題ポイント。
エージェントアーキテクチャ,データ正規化（PostToolUse）,"異なるMCPツールからの異種データ形式（Unixタイムスタンプ、ISO 8601、数値ステータスコード）をエージェント処理前に統一形式に変換。",PostToolUseフックの典型的な使用例。
エージェントアーキテクチャ,プロンプトチェイニング（固定シーケンシャルパイプライン）,"各ファイルを個別に分析し、その後クロスファイル統合パスを実行する固定的な逐次処理パターン。予測可能なタスクに適する。",動的適応分解との使い分けが問われる。
エージェントアーキテクチャ,動的適応分解,"各ステップで発見された内容に基づいてサブタスクを動的に生成する分解戦略。オープンエンドな調査タスクに適する。",プロンプトチェイニングとの比較で出題。不確実性が高いタスク向け。
エージェントアーキテクチャ,タスク分解パターンの選択基準,"予測可能なマルチアスペクトレビュー→プロンプトチェイニング。オープンエンドな調査→動的分解。",シナリオに基づく判断問題で出題。
エージェントアーキテクチャ,--resume session-name,"名前付きセッションを再開するCLIオプション。特定の以前の会話を継続する。",fork_sessionとの使い分けが問われる。セッション管理の基本機能。
エージェントアーキテクチャ,fork_session,"共有された分析ベースラインから独立ブランチを作成し、分岐アプローチを探索する機能。例: 2つのテスト戦略を比較。",--resumeとの違いが重要。並列探索に使用。
エージェントアーキテクチャ,セッション再開時のファイル変更通知,"コード変更後にセッション再開する際、以前に分析されたファイルへの変更についてエージェントに通知する。完全な再探索ではなくターゲット再分析。",再開時のベストプラクティス。
エージェントアーキテクチャ,構造化サマリー注入による新セッション開始,"古いツール結果で再開するよりも、構造化サマリーを注入した新セッションを開始する方が信頼性が高い。",古いコンテキストが多い場合は新セッションが適切。
エージェントアーキテクチャ,セッション再開 vs 新セッション開始の判断基準,"以前のコンテキストが大部分有効→セッション再開。以前のツール結果が古い→構造化サマリー注入で新規開始。",コンテキストの鮮度が決め手。
エージェントアーキテクチャ,フォークベースのセッション管理,"fork_sessionで共有された分析ベースラインから複数の独立ブランチを作成し、異なるアプローチを並列探索する管理手法。",例: 共有コードベース分析から2つのリファクタリングアプローチを比較。
ツール設計・MCP,ツール説明（Tool Description）,"LLMがツール選択に使用する主要なメカニズム。入力形式、クエリ例、エッジケース、境界説明を含めることが重要。",サンプル問題2の正解根拠。最小限の説明は信頼性の低い選択につながる。
ツール設計・MCP,ツール説明のアンチパターン: 最小限の説明,"「顧客情報を取得する」のような最小限の説明では類似ツール間で信頼性の低い選択が生じる。",具体的な境界・入力形式・使い分けを含む詳細な説明が正解。
ツール設計・MCP,ツール説明のオーバーラップ,"曖昧またはオーバーラップするツール説明がミスルーティングを引き起こす。例: analyze_content vs analyze_documentが同一説明。",ツールのリネームと説明更新で機能のオーバーラップを排除。
