category,term,definition,context
Business & Office,provisional,暫定的な、仮の,The committee reached a provisional agreement pending further review.
Business & Office,oversight,"監視、見落とし",The committee was established to provide independent oversight of the company's financial reporting.
Business & Office,confidential,機密の、部外秘の,Please mark the document as confidential before distributing it to the board.
Business & Office,eligible,資格がある、適格な,Employees who have been with the company for over two years are eligible for the bonus program.
Business & Office,administrative,管理の、事務的な,The administrative staff will handle all scheduling and travel arrangements.
Business & Office,designate,指名する、指定する,The manager will designate a team leader for each project by Friday.
Business & Office,mandatory,義務的な、必須の,Attendance at the safety briefing is mandatory for all new hires.
Business & Office,appraisal,人事評価、査定,Annual performance appraisals will be conducted during the first week of April.
Business & Office,grievance,苦情、不満の申し立て,Employees may file a formal grievance through the human resources department.
Business & Office,onboarding,"新人研修、入社時オリエンテーション",The onboarding program for new recruits includes a three-day orientation session.
Business & Office,severance,退職手当、解雇補償,The severance package includes three months of salary and extended health benefits.
Business & Office,mediation,調停、仲裁,Both parties agreed to resolve the dispute through mediation rather than litigation.
Business & Office,convene,（会議を）招集する、開催する,The board will convene an emergency meeting to discuss the merger proposal.
Business & Office,delegate,委任する、権限を移譲する,Effective managers know when to delegate tasks to their team members.
Business & Office,ratify,正式に承認する、批准する,The shareholders voted to ratify the new corporate governance policy.
Business & Office,tenure,在職期間、勤続年数,"After five years of tenure, employees become eligible for sabbatical leave."
Business & Office,protocol,手順、議定書、取り決め,Please follow the established protocol when submitting expense reports.
Business & Office,stipulate,規定する、条件として定める,The contract stipulates that all deliverables must be completed within 90 days.
Business & Office,subsidiary,子会社,The company plans to establish a subsidiary in Southeast Asia next quarter.
Business & Office,incentive,報奨金、動機づけ,The sales team receives quarterly incentives based on their performance targets.
Finance & Accounting,reimburse,払い戻す、費用を弁済する,The company will reimburse employees for all approved travel expenses.
Finance & Accounting,audit,会計監査、検査,An independent firm will conduct the annual audit of our financial statements.
Finance & Accounting,fiscal,会計の、財政の,"The fiscal year ends on March 31, and all budgets must be finalized by then."
